Timestamp,03/26/25 15:28:23,,,,,,,,,,,,,,,,,,,
Merchant ID,A1SBBNS12ROFRE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Product Name,SKU,FNSKU,ASIN,Inbound to AWD (units),Inbound to AWD (cases),Available in AWD (units),Available in AWD (cases),Reserved in AWD (units),Reserved in AWD (cases),Outbound Order (units),Outbound Order (cases),Researching (units),Researching (cases),Outbound to FBA (units),Available in FBA (units),Available in FBA (days),Reserved in FBA (units),Customer Order (units),FC Processing (units),FC Transfer (units)
LUXRUG 6x9 Area Rug for Living Room - Large Botanical Floral Washable Pink Rugs for Bedroom Girls Dining Room Rug Low-Pile Soft Vintage Flower Carpet Colorful Office Nursery Rug,G24451-1-Pink--6x9-US-V1,X004HYKLGT,B0DQ8R7236,50,25,110,55,0,0,0,0,0,0,0,59,201,5,2,0,3
LUXRUG Washable Area Rug 5x7 - Botanical Floral Living Room Rug Soft Boho Pink Rugs for Bedroom Girls Vintage Flower Stain Resistant Nursery Dining Room Rugs for Under Table Carpet for Kid Room,G24451-1-Pink--5x7-US-V1,X004HYCPMH,B0DQ8JSCVD,44,11,116,29,0,0,0,0,0,0,12,33,195,12,0,0,12
LUXRUG Area Rugs 9x12 Living Room - Large Washable Charcoal Black Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor,G24268-7-Black-9x12-US-V1,X004CCKRQF,B0DBYYXW44,67,67,183,183,0,0,0,0,0,0,11,93,62,1,0,1,0
LUXRUG Washable Area Rug 8x10 - Large Charcoal Black Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor,G24268-7-Black-8x10-US-V1,X004CCN1OF,B0DBY8NGRN,70,35,106,53,0,0,0,0,0,0,8,68,61,25,0,17,8
LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-Pile Carpet Soft Vinatge Rug for Office Guest Room,G24268-7-Black-6x9-US-V1,X004CCN2HB,B0DBYXH8YW,38,19,38,19,2,1,2,1,0,0,2,35,78,8,0,8,0
LUXRUG Washable Area Rug 5x7 - Traditional Floral Living Room Stain Resistant Soft Bedroom Ultra-Thin Charcoal Black Vintage Dining Room for Under Table Indoor Carpet,G24268-7-Black-5x7-US-V1,X004CCTMV1,B0DBZB9JY5,56,14,132,33,0,0,0,0,0,0,12,47,49,26,1,21,4
LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office,G24268-7-Black-3x5-US-V1,X004CCTLNZ,B0DBYP9F11,80,8,0,0,70,7,70,7,0,0,5,23,26,3,0,0,3
LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Cream Colorful Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office,G24268-1A-Cream-3x5-US-V1,X004CCKR6P,B0DBYY5XMP,20,2,20,2,10,1,10,1,0,0,10,28,75,41,0,1,40
LUXRUG Area Rugs 9x12 Living Room - Large Washable Sage Green Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor,G24267-5-Green-9x12-US-V1,X004CBDMCH,B0DBVMLB8P,93,93,72,72,21,21,21,21,0,0,1,137,76,6,1,4,1
LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor,G24267-5-Green-8x10-US-V1,X004CBGGHP,B0DBVM69Y6,46,23,0,0,48,24,48,24,0,0,0,0,155,21,6,13,2
