return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status	license-plate-number	customer-comments
2025-03-03T17:48:51-08:00	113-6739328-6998641	G24268-7-Black-3x5-US-V1	B0DBYP9F11	X004CCTLNZ	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office	1	LEX2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory	LPNNA5QNHRV7R	
2025-03-03T17:27:24-08:00	113-5341616-1818637	N1338-1-Orange-5x7-US-V1	B0DBYYVZMX	X004CCZFYJ	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Orange Modern Abstract Rainbow Dining Room Rugs Indoor Carpet for Living Room Nursery Room	1	MEM3	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory	LPNNK494DSFRL	The rug doesn&#39;t look like I was expecting. The colors are to light and the rug is to thin.
2025-03-03T12:55:04-08:00	111-1819938-6235412	N1338-1-Orange-5x7-US-V1	B0DBYYVZMX	X004CCZFYJ	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Orange Modern Abstract Rainbow Dining Room Rugs Indoor Carpet for Living Room Nursery Room	1	EWR7	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory	LPNRRIY2437733	
2025-03-03T12:29:34-08:00	114-1214871-9383406	N1338-3-Sage Green-9x12-US-V1	B0DBZ4M9KK	X004CCV07F	LUXRUG Area Rugs 9x12 Living Room - Large Washable Sage Green Boho Rugs for Bedroom Soft Abstract Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor	1	CVG2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory	LPNNA5JRCVF2M	Won’t work with pets
2025-03-02T22:46:53-08:00	113-1632305-0329820	N1338-3-Sage Green-5x7-US-V1	B0DBYV7V8N	X004CCZH29	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Modern Abstract Rainbow Dining Room Rugs Indoor Carpet for Living Room Nursery Room	1	LEX2	CUSTOMER_DAMAGED	DAMAGED_BY_FC	Unit returned to inventory	LPNNA5JG8HY6L	
2025-03-02T21:16:11-08:00	111-3916699-4454626	G24267-2-Beige-6x9-US-V1	B0DBVM7S5P	X004CBGGCF	LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Cream Stain Resistant Dining Room Rug Farmhouse Low-Pile Carpet Soft Vinatge Rug for Office Guest Room	1	CVG2	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory	LPNNH49FT7218	
2025-03-02T17:29:34-08:00	112-0719661-5074601	N1338-3-Sage Green-3x5-US-V1	B0DBYMRB1C	X004CCZFPN	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor	1	IAH1	SELLABLE	UNWANTED_ITEM	Unit returned to inventory	LPNAC035783163	Bought two colors like the other better
2025-03-02T16:45:18-08:00	113-2250284-2166666	G24267-5-Green-5x7-US-V1	B0DBVNT5V3	X004CBGERR	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Vintage Oriental Farmhouse Dining Room Rugs for Under Table Indoor Carpet for Living Room	1	CHA1	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory	LPNNA5QXJ36W8	
2025-03-02T12:45:07-08:00	114-7031017-3939407	N1338-1-Orange-9x12-US-V1	B0DBZ56PC3	X004CCV06L	LUXRUG Area Rugs 9x12 Living Room - Large Washable Orange Boho Rugs for Bedroom Soft Abstract Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor	1	CVG2	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory	LPNNH4SDR6QJF	
2025-03-02T10:50:13-08:00	111-0374198-4221033	N1338-3-Sage Green-5x7-US-V1	B0DBYV7V8N	X004CCZH29	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Modern Abstract Rainbow Dining Room Rugs Indoor Carpet for Living Room Nursery Room	1	EWR7	SELLABLE	UNWANTED_ITEM	Unit returned to inventory	LPNRRIZ3064528	Not what I want
2025-03-02T09:30:14-08:00	114-1450338-1677051	N1338-7-Grey-8x10-US-V1	B0DQ8FXRDX	X004HY8QCP	LUXRUG Washable Area Rug 8x10 - Large Grey Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor	1	CVG2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory	LPNNH4BZ9NCL3	It&#39;s not a rug materials. It&#39;s blanket material
2025-03-02T07:20:38-08:00	114-4909575-4989051	G24136-7-Beige-5x7-US-V1	B0DBZ76XQH	X004CCX8F7	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Beige Modern Abstract Geometric Dining Room Rugs Indoor Carpet for Living Room Nursery Room	1	LAS2	SELLABLE	DEFECTIVE	Unit returned to inventory	LPNPMDR5764015	Low quality
2025-03-02T04:55:46-08:00	113-7956645-9345806	N1338-1-Orange-3x5-US-V1	B0DBZ7YNH5	X004CCRHBX	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Orange Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor	1	MCI7	CUSTOMER_DAMAGED	ORDERED_WRONG_ITEM	Unit returned to inventory	LPNO233769631	
